0	2.59	2.95	2.5	6.7	7.17	12.57	10.9	13.07	14.51	10.24	12.91	6.81	7.17	6.7	4.15	11.5	31.799999	2.5	23.75
2.59	0	2.5	2.5	7.05	7.46	12.92	11.18	13.35	14.83	10.57	13.24	7.16	7.46	7.05	4.43	11.84	32.060001	2.5	24.01
2.95	2.5	0	2.5	6.88	7.18	12.73	10.89	13.04	14.57	10.31	12.97	6.95	7.18	6.88	4.18	11.59	31.73	2.5	23.690001
2.5	2.5	2.5	0	4.78	5.17	10.63	8.9	11.07	12.54	8.27	10.94	4.86	5.17	4.78	2.5	9.54	29.790001	2.5	21.75
6.7	7.05	6.88	4.78	0	2.5	5.87	4.62	6.75	7.97	3.78	6.38	2.5	2.5	2.5	2.8	4.94	25.469999	5.66	17.42
7.17	7.46	7.18	5.17	2.5	0	5.77	3.73	5.91	7.39	3.14	5.8	2.5	2.5	2.5	3.03	4.44	24.629999	6.01	16.59
12.57	12.92	12.73	10.63	5.87	5.77	0	3.08	3.03	2.77	2.87	2.5	5.79	5.77	5.87	8.57	2.5	20.75	11.51	12.71
10.9	11.18	10.89	8.9	4.62	3.73	3.08	0	2.5	3.75	2.5	2.5	4.24	3.73	4.62	6.76	2.5	20.91	9.73	12.87
13.07	13.35	13.04	11.07	6.75	5.91	3.03	2.5	0	2.5	2.97	2.5	6.4	5.91	6.75	8.93	2.5	18.74	11.9	10.69
14.51	14.83	14.57	12.54	7.97	7.39	2.77	3.75	2.5	0	4.27	2.5	7.72	7.39	7.97	10.4	3.03	18	13.39	9.95
10.24	10.57	10.31	8.27	3.78	3.14	2.87	2.5	2.97	4.27	0	2.67	3.48	3.14	3.78	6.14	2.5	21.68	9.12	13.64
12.91	13.24	12.97	10.94	6.38	5.8	2.5	2.5	2.5	2.5	2.67	0	6.13	5.8	6.38	8.8	2.5	19.23	11.79	11.19
6.81	7.16	6.95	4.86	2.5	2.5	5.79	4.24	6.4	7.72	3.48	6.13	0	2.5	2.5	2.78	4.7	25.139999	5.74	17.09
7.17	7.46	7.18	5.17	2.5	2.5	5.77	3.73	5.91	7.39	3.14	5.8	2.5	0	2.5	3.03	4.44	24.629999	6.01	16.59
6.7	7.05	6.88	4.78	2.5	2.5	5.87	4.62	6.75	7.97	3.78	6.38	2.5	2.5	0	2.8	4.94	25.469999	5.66	17.42
4.15	4.43	4.18	2.5	2.8	3.03	8.57	6.76	8.93	10.4	6.14	8.8	2.78	3.03	2.8	0	7.41	27.65	2.99	19.610001
11.5	11.84	11.59	9.54	4.94	4.44	2.5	2.5	2.5	3.03	2.5	2.5	4.7	4.44	4.94	7.41	0	20.65	10.4	12.6
31.799999	32.060001	31.73	29.790001	25.469999	24.629999	20.75	20.91	18.74	18	21.68	19.23	25.139999	24.629999	25.469999	27.65	20.65	0	30.6	9.95
2.5	2.5	2.5	2.5	5.66	6.01	11.51	9.73	11.9	13.39	9.12	11.79	5.74	6.01	5.66	2.99	10.4	30.6	0	22.559999
23.75	24.01	23.690001	21.75	17.42	16.59	12.71	12.87	10.69	9.95	13.64	11.19	17.09	16.59	17.42	19.610001	12.6	9.95	22.559999	0
